benchmark,truth_set,reference,eval_mode,caller,platform,aligner,depth,precision,recall,F1,platform_aligner
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,minimap2,50x,0.9947,0.8571,0.9208,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,minimap2,50x,0.9889,0.8203,0.8967,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,minimap2,50x,0.1574,0.8571,0.2659,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,minimap2,50x,0.5908,0.8249,0.6885,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,minimap2,50x,0.8953,0.788,0.8382,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,winnowmap,50x,0.9593,0.7604,0.8483,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,winnowmap,50x,0.9595,0.765,0.8513,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,winnowmap,50x,0.9353,0.7327,0.8217,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,winnowmap,50x,0.9508,0.8018,0.87,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,winnowmap,50x,0.9459,0.8065,0.8706,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,50x,0.9444,0.7834,0.8564,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,winnowmap,50x,0.9378,0.8341,0.8829,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,winnowmap,50x,0.9738,0.8571,0.9118,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,winnowmap,50x,0.9683,0.8433,0.9015,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,winnowmap,50x,0.1639,0.8618,0.2754,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,winnowmap,50x,0.6088,0.8249,0.7006,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,winnowmap,50x,0.8641,0.8203,0.8416,HiFi__winnowmap
