benchmark,truth_set,reference,eval_mode,caller,platform,aligner,depth,depth_x,precision,recall,F1
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,winnowmap,10x,10,0.6434,0.765,0.6989
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,winnowmap,30x,30,0.2799,0.8295,0.4186
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,winnowmap,50x,50,0.1639,0.8618,0.2754
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,minimap2,10x,10,0.83,0.765,0.7962
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,minimap2,30x,30,0.677,0.8018,0.7342
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,minimap2,50x,50,0.5908,0.8249,0.6885
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,winnowmap,10x,10,0.871,0.7465,0.804
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,winnowmap,30x,30,0.6899,0.8203,0.7495
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,winnowmap,50x,50,0.6088,0.8249,0.7006
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,minimap2,10x,10,0.9481,0.6728,0.7871
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,minimap2,30x,30,0.9392,0.7834,0.8543
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,minimap2,50x,50,0.8953,0.788,0.8382
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,winnowmap,10x,10,0.9481,0.6728,0.7871
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,winnowmap,30x,30,0.8974,0.8065,0.8495
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,winnowmap,50x,50,0.8641,0.8203,0.8416
